MORATORIUM TYPE,STREET ADDRESS BEGIN,STREET ADDRESS END,STREET ADDRESS PREFIX,STREET NAME,STREET NAME SUFFIX,START DATE,EXPIRATION DATE
Street Resurfacing,4032,4135,W,CULLOM,AVE,2013-07-25T00:00:00,2018-07-25T00:00:00
Street Resurfacing,2800,3161,W,39TH,PL,2011-08-18T00:00:00,2018-06-14T00:00:00
Street Resurfacing,6100,6361,N,KEDVALE,AVE,2013-07-25T00:00:00,2018-07-25T00:00:00
Street Resurfacing,4900,4925,S,LOOMIS,ST,2015-10-24T00:00:00,2020-10-24T00:00:00
Street Resurfacing,4001,4159,W,VAN BUREN,ST,2013-07-01T00:00:00,2018-05-10T00:00:00
Street Resurfacing,2400,2532,W,82ND,ST,2015-04-23T00:00:00,2020-04-23T00:00:00
Street Resurfacing,1232,1257,W,BERWYN,AVE,2011-08-18T00:00:00,2018-07-28T00:00:00
Street Resurfacing,4500,4559,S,KEATING,AVE,2014-11-04T00:00:00,2019-11-04T00:00:00
Street Resurfacing,9000,9059,S,OGLESBY,AVE,2013-08-07T00:00:00,2018-08-07T00:00:00
Street Resurfacing,6200,6203,S,PEORIA,DR,2012-08-13T00:00:00,2017-08-13T00:00:00
Street Resurfacing,3300,3363,W,AUGUSTA,BLVD,2014-09-18T00:00:00,2019-09-17T00:00:00
Street Resurfacing,1800,1859,N,SEDGWICK,ST,2013-09-23T00:00:00,2018-09-23T00:00:00
Street Resurfacing,2632,2759,W,12TH,PL,2013-09-05T00:00:00,2018-09-05T00:00:00
Street Resurfacing,5100,5175,W,BLOOMINGDALE,AVE,2015-01-12T00:00:00,2019-05-07T00:00:00
Street Resurfacing,1700,1733,W,WRIGHTWOOD,AVE,2012-08-29T00:00:00,2017-08-29T00:00:00
Street Resurfacing,5900,5965,N,NEWARK,AVE,2014-08-06T00:00:00,2019-08-06T00:00:00
Street Resurfacing,1204,1342,W,FARWELL,AVE,2015-06-19T00:00:00,2020-06-19T00:00:00
Street Resurfacing,1600,1659,N,WOOD,ST,2012-07-10T00:00:00,2017-07-10T00:00:00
Street Resurfacing,3300,3359,N,OCONTO,AVE,2015-09-22T00:00:00,2020-09-22T00:00:00
Street Resurfacing,200,449,W,83RD,ST,2015-09-24T00:00:00,2020-09-24T00:00:00
Street Construction,300,659,E,OHIO,ST,2013-09-05T00:00:00,2023-09-05T00:00:00
Street Resurfacing,6000,6057,N,LANDERS,AVE,2015-08-03T00:00:00,2020-08-03T00:00:00
Traffic Restriction,1000,1237,E,53RD,ST,2009-02-27T00:00:00,2019-01-21T00:00:00
Street Resurfacing,4400,4649,N,LOWELL,AVE,2013-07-11T00:00:00,2018-07-11T00:00:00
Street Resurfacing,2700,2759,W,FARRAGUT,AVE,2015-08-11T00:00:00,2020-08-11T00:00:00
Street Resurfacing,13300,13359,S,AVENUE K,,2011-10-01T00:00:00,2017-10-01T00:00:00
Street Resurfacing,2000,2059,W,HOMER,ST,2012-07-17T00:00:00,2017-07-17T00:00:00
Street Resurfacing,200,232,N,KOLIN,AVE,2012-05-28T00:00:00,2017-05-28T00:00:00
Street Resurfacing,1,199,N,STATE,ST,2014-09-02T00:00:00,2019-09-01T00:00:00
Street Resurfacing,1,199,N,STATE,ST,2014-09-02T00:00:00,2019-09-01T00:00:00
Street Resurfacing,3300,3559,N,HAMILTON,AVE,2015-01-12T00:00:00,2019-08-21T00:00:00
Street Resurfacing,2532,2559,W,116TH,PL,2015-06-25T00:00:00,2020-06-25T00:00:00
Street Resurfacing,1200,1469,W,MONTROSE,AVE,2011-08-15T00:00:00,2016-11-02T00:00:00
Street Resurfacing,2800,3059,N,HAMLIN,AVE,2011-08-15T00:00:00,2017-11-15T00:00:00
Street Resurfacing,10600,11259,S,TORRENCE,AVE,2011-09-09T00:00:00,2016-09-09T00:00:00
Street Resurfacing,5200,5259,S,AVERS,AVE,2013-08-07T00:00:00,2018-08-07T00:00:00
Street Resurfacing,3700,3859,S,EMERALD,AVE,2013-07-18T00:00:00,2018-07-18T00:00:00
Street Resurfacing,1438,1600,N,KARLOV,AVE,2014-11-10T00:00:00,2019-11-10T00:00:00
Street Resurfacing,1200,1243,E,50TH,ST,2014-11-04T00:00:00,2019-11-04T00:00:00
Street Resurfacing,1,409,S,LEAVITT,ST,2013-05-14T00:00:00,2018-05-14T00:00:00
Street Resurfacing,2000,2359,W,DIVISION,ST,2014-09-25T00:00:00,2019-09-24T00:00:00
Street Resurfacing,11100,11253,S,SANGAMON,ST,2012-11-05T00:00:00,2017-11-05T00:00:00
Street Resurfacing,2200,2259,S,HOYNE,AVE,2014-04-11T00:00:00,2019-04-11T00:00:00
Traffic Restriction,200,251,S,WELLS,ST,2011-05-26T00:00:00,2030-12-31T00:00:00
Street Resurfacing,6000,6100,W,63RD,PL,2012-07-18T00:00:00,2017-07-18T00:00:00
Traffic Restriction,1,539,S,WACKER,DR,2010-08-25T00:00:00,2025-12-31T00:00:00
Traffic Restriction,1200,2159,S,WESTERN,AVE,2015-12-06T00:00:00,2015-12-06T00:00:00
Street Resurfacing,1600,1757,W,GREGORY,ST,2013-12-24T00:00:00,2018-12-24T00:00:00
Street Resurfacing,3732,3759,W,CORTLAND,ST,2011-08-18T00:00:00,2016-06-17T00:00:00
Street Resurfacing,2901,3059,S,NORMAL,AVE,2014-06-09T00:00:00,2019-06-09T00:00:00
Street Resurfacing,2600,2657,W,GLENLAKE,AVE,2013-09-26T00:00:00,2018-09-26T00:00:00
Street Resurfacing,3704,3759,N,LAWNDALE,AVE,2015-09-30T00:00:00,2020-09-30T00:00:00
Street Resurfacing,1200,1259,W,98TH,ST,2011-10-12T00:00:00,2016-10-12T00:00:00
Street Resurfacing,1200,1231,S,THROOP,ST,2013-05-10T00:00:00,2018-05-10T00:00:00
Traffic Restriction,1,473,N,JEFFERSON,ST,2015-11-09T00:00:00,2016-01-04T00:00:00
Street Resurfacing,1600,1759,W,101ST,ST,2015-08-14T00:00:00,2020-08-03T00:00:00
Traffic Restriction,630,659,W,WARREN,BLVD,2015-11-09T00:00:00,2016-01-04T00:00:00
Street Resurfacing,2900,2959,N,KILBOURN,AVE,2013-08-16T00:00:00,2018-08-16T00:00:00
Street Resurfacing,6101,6159,N,CAMPBELL,AVE,2011-10-07T00:00:00,2016-09-14T00:00:00
Street Resurfacing,600,1159,S,HOLDEN,CT,2012-12-06T00:00:00,2017-12-06T00:00:00
Street Resurfacing,3540,3601,W,WOLFRAM,ST,2014-12-03T00:00:00,2018-12-03T00:00:00
Street Resurfacing,4400,4659,S,PRAIRIE,AVE,2012-09-24T00:00:00,2017-09-24T00:00:00
Street Resurfacing,2239,2357,W,111TH,PL,2013-06-28T00:00:00,2018-04-25T00:00:00
Street Resurfacing,12532,12532,S,EGGLESTON,AVE,2015-01-29T00:00:00,2019-11-04T00:00:00
Street Resurfacing,1432,1459,S,RACINE,AVE,2015-11-04T00:00:00,2020-11-04T00:00:00
Street Resurfacing,6834,6859,W,WAVELAND,AVE,2012-11-07T00:00:00,2017-11-07T00:00:00
Street Resurfacing,2100,2159,W,ROSEMONT,AVE,2011-12-02T00:00:00,2016-10-29T00:00:00
Street Resurfacing,1032,1199,N,SPAULDING,AVE,2011-08-18T00:00:00,2016-06-20T00:00:00
Street Resurfacing,2600,2725,W,58TH,ST,2011-07-25T00:00:00,2016-08-10T00:00:00
Street Resurfacing,2600,2659,N,MELVINA,AVE,2012-10-18T00:00:00,2017-10-18T00:00:00
Street Resurfacing,1828,1828,W,CHASE,AVE,2015-01-29T00:00:00,2019-11-04T00:00:00
Street Resurfacing,9530,9770,S,THROOP,ST,2015-05-15T00:00:00,2020-05-15T00:00:00
Street Resurfacing,2900,2967,E,90TH,ST,2011-07-11T00:00:00,2018-06-16T00:00:00
Street Resurfacing,6018,6300,S,VERNON,AVE,2014-11-21T00:00:00,2019-11-21T00:00:00
Street Resurfacing,1600,1663,W,92ND,ST,2015-07-07T00:00:00,2020-07-07T00:00:00
Street Resurfacing,528,755,N,FAIRBANKS,CT,2013-06-27T00:00:00,2018-06-27T00:00:00
Street Resurfacing,7101,7259,S,GREEN,ST,2011-12-12T00:00:00,2016-11-16T00:00:00
